id;nombre;apellido;dni;cc;limite
1;Credit Card Account;Tools Handmade;98890;New Jersey enterprise synthesize;74525
2;Kuwait;Incredible;35081;card Wooden;95988
3;AGP Investor Advanced;Wisconsin;9701;Vermont Keys;93995
4;transmit initiatives policy;out-of-the-box matrix productivity;21655;bottom-line override Re-engineered;3693
5;feed;payment Auto Loan Account;19840;metrics;18986
6;transitional Flat;Avon Shoal dynamic;26783;user-facing Intelligent Granite;92760
7;background;Handcrafted Architect deposit;30292;East Caribbean Dollar lime;61795
8;Investment Account seamless;interactive;40713;panel online withdrawal;3850
9;Baby Assurance Cambridgeshire;deposit;77199;transmitter China;5757
10;Home Loan Account protocol bandwidth;24/365;40265;framework silver Investment Account;26409
